country,year,Label,C10-S951_X_K,C,D_E,F,G,H,I,ICT,J,N,10-49,50-249,GE10,GE250
AT,2020,lack of ICT qualifications (training / education),0.015984,0.026352985,0.045445,0.000502,0.012741,0.007062996,0.0,0.10834794,0.11359194,0.009776993,0.008265993,0.037873,0.015984,0.147623881
BE,2020,lack of ICT qualifications (training / education),0.03935697,0.032802,0.09713594,0.010580993,0.022414,0.021502985,0.003408,,,0.032576,0.021037,0.10365394,0.03935697,0.237235
BG,2020,lack of ICT qualifications (training / education),0.008273,,,0.0,0.003957996,,,0.103521,0.107089,,0.005907,0.015457,0.008273,0.04469397
CY,2020,lack of ICT qualifications (training / education),0.008346,0.001940999,0.0,0.0,0.002975998,0.032724,0.0,0.121739,0.11571794,0.006394,0.004789996,0.023200985,0.008346,0.06814294
DE,2020,lack of ICT qualifications (training / education),0.01164,0.011209993,0.014287993,0.00254,0.009367,0.007673996,0.000426,0.071382,0.07609294,0.010386993,0.005838996,0.022975,0.01164,0.100324
DK,2020,lack of ICT qualifications (training / education),0.026561985,0.017239985,0.028011,0.0,0.012546993,0.017731,0.000892,0.167208881,0.180015881,0.01057,0.017409,0.042949,0.026561985,0.187517881
EE,2020,lack of ICT qualifications (training / education),0.009701,0.00458,0.024589985,0.0,0.004479996,0.003136,0.004479,0.11503694,0.11199794,0.009786993,0.006548996,0.014036,0.009701,0.09433994
EL,2020,lack of ICT qualifications (training / education),,,0.002725,,,,,,,,,,,
ES,2020,lack of ICT qualifications (training / education),0.005895,0.003676,0.008341,0.002285998,0.002871,0.009321993,0.001475999,0.04748997,0.03329497,0.008265993,0.004571,0.008449993,0.005895,0.03398597
FI,2020,lack of ICT qualifications (training / education),0.020874985,,0.021967985,0.010703993,0.010382,0.004201,,0.136012881,0.135234,0.008006,0.014019993,0.03785797,0.020874985,0.123692
FR,2020,lack of ICT qualifications (training / education),0.004281,0.002031998,0.008926,0.000311,0.000872,0.005652,0.000287,0.04453897,0.04108497,0.001205999,0.002484,0.009317993,0.004281,0.03700897
HR,2020,lack of ICT qualifications (training / education),0.010566993,0.001455,0.0,0.0,0.001652,,0.0,0.146091,0.156979,,0.008733,0.011691993,0.010566993,0.04535197
HU,2020,lack of ICT qualifications (training / education),0.003509998,0.003823,0.002421,0.000206,0.002488998,0.005028996,0.000299,0.026478985,0.026349985,0.001120999,0.001859,0.006325,0.003509998,0.041623
LU,2020,lack of ICT qualifications (training / education),,,,,,,,,,,,,,
LV,2020,lack of ICT qualifications (training / education),0.006123,0.003229,0.0,0.000674,0.004697,0.00377,0.0,0.080992,0.072198,0.010392993,0.003385998,0.008067993,0.006123,0.083408
MT,2020,lack of ICT qualifications (training / education),0.028710985,0.014073,,0.0,0.025416985,0.023054985,0.003941,0.178649881,0.146205881,0.005530996,0.019498985,0.05967097,0.028710985,0.10224294
NL,2020,lack of ICT qualifications (training / education),0.024134,0.011163,0.068833,0.006561,0.017576,0.015113993,0.0,0.126632881,0.131555881,0.011462993,0.015229993,0.03880697,0.024134,0.155340881
PL,2020,lack of ICT qualifications (training / education),0.002726,0.001732999,0.002057,7.2e-05,0.001375,0.000763,0.000493,0.04231097,0.04404797,0.000941,0.001115,0.003886,0.002726,0.036587
PT,2020,lack of ICT qualifications (training / education),0.004281,0.002993998,0.00554,0.0,0.006022996,0.00757,0.0,0.034695,0.047703,0.001437,0.00219,0.007035996,0.004281,0.05915697
SE,2020,lack of ICT qualifications (training / education),0.011245993,0.011842,0.025917,0.000736,0.010841,0.003682998,0.0,0.06950794,0.07087294,0.009376993,0.005018996,0.027198985,0.011245993,0.11946594
SI,2020,lack of ICT qualifications (training / education),0.00756,,,0.0,,,,0.10455594,0.117457,0.0,0.005933996,0.006996,0.00756,0.05730497
SK,2020,lack of ICT qualifications (training / education),0.005025996,0.004642996,0.0,0.0,0.003731,0.000786,0.0,0.04237,0.050975,0.007485,0.002651998,0.008029,0.005025996,0.03988197
EU27_2020,2020,lack of ICT qualifications (training / education),0.009798993,0.00739,0.014122993,0.002191,0.006615996,0.006927,0.000738,0.077131,0.077047,0.007819,0.005519,0.019614,0.009798993,0.08110094
