Accident_ID,Party_Type,Province,Intersection_ID,Year,Main_Road_Type,Urban_Access_Road_Type,Residential_Road_Type,Intersection_Type,Road_Segment_Number,Pavement_Type,Surface_Type,Road_Structure_Type
20210089566,SPEED PEDELEC,Noord-Holland,281340008.0,2021,N,J,N,K,281340008.0,,,
20220014445,SPEED PEDELEC,Noord-Holland,600144855.0,2022,N,J,N,K,600144855.0,FP,,P
20220101313,SPEED PEDELEC,Noord-Holland,,2022,,,,,,,,G
20220077061,SPEED PEDELEC,Noord-Holland,,2022,,,,,,,,G
20230003443,SPEEDPEDELEC,Noord-Holland,,2023,,,,,,PKP,,G
20230004265,FATBIKE,Noord-Holland,600150308.0,2023,N,J,N,K,232375156.0,FP,,G
20230017589,SPEED PEDELEC,Noord-Holland,222430201.0,2023,N,J,N,K,222430194.0,RB,,G
20230017968,FATBIKE,Noord-Holland,210387077.0,2023,N,J,N,K,210387077.0,RB,,G
20230020507,SPEED PEDELEC,Noord-Holland,,2023,,,,,,PKP,,G
20230036843,FATBIKE,Noord-Holland,600158287.0,2023,N,J,N,K,228371077.0,FP,,G
20230036481,FATBIKE,Noord-Holland,207376237.0,2023,N,J,N,K,207376237.0,RB,,G
20230046508,FATBIKE,Noord-Holland,205394177.0,2023,N,J,N,K,205394177.0,RB,,G
20230037130,SPEED PEDELEC,Noord-Holland,,2023,,,,,,PKP,,G
20230037831,SPEED PEDELEC,Noord-Holland,,2023,,,,,,PKP,,G
20230040255,FATBIKE,Noord-Holland,242372007.0,2023,N,J,N,,,PKP,,G
20230048316,FATBIKE,Noord-Holland,600254423.0,2023,N,J,N,K,276359187.0,FP,,G
20230048495,SPEED PEDELEC,Noord-Holland,246375010.0,2023,N,J,N,K,246375010.0,FP,,G
20230048855,FATBIKE,Noord-Holland,600148761.0,2023,N,J,N,K,239359130.0,VBW,O,G
20230046753,FATBIKE,Noord-Holland,214360101.0,2023,N,J,N,,,PKP,,G
20230049353,FATBIKE,Noord-Holland,,2023,,,,,,PKP,,G
20230049669,FATBIKE,Noord-Holland,234374052.0,2023,N,J,N,,,PKP,,G
20230047513,FATBIKE,Noord-Holland,263435046.0,2023,N,J,N,K,263435046.0,FP,,G
20230059038,SPEED PEDELEC,Noord-Holland,,2023,,,,,,PKP,,G
20230059210,FATBIKE,Noord-Holland,600292409.0,2023,N,J,N,K,232389124.0,FP,,G
