Accident_ID,Party_Type,Province,Intersection_ID,Year,Main_Road_Type,Urban_Access_Road_Type,Residential_Road_Type,Intersection_Type,Road_Segment_Number,Pavement_Type,Surface_Type,Road_Structure_Type
20220014445,SPEED PEDELEC,Noord-Holland,600144855.0,2022,N,J,N,K,600144855.0,FP,,P
20220104445,SPEED PEDELEC,Zuid-Holland,,2022,,,,,nan,,,G
20220101313,SPEED PEDELEC,Noord-Holland,,2022,,,,,nan,,,G
20220090700,SPEED PEDELEC,Limburg,355124092.0,2022,N,J,N,,nan,,,G
20220083001,SPEED PEDELEC,Zuid-Holland,600183246.0,2022,N,J,N,K,167295136.0,FP,,G
20220063568,SPEED PEDELEC,Zuid-Holland,192261159.0,2022,N,J,N,,nan,,,G
20220063876,SPEED PEDELEC,Zeeland,105185068.0,2022,N,J,N,K,105185034.0,FP,,G
20220077061,SPEED PEDELEC,Noord-Holland,,2022,,,,,nan,,,G
20220148706,SPEED PEDELEC,Noord-Brabant,274178043.0,2022,N,J,N,K,274178043.0,FP,,G
20220145713,SPEED PEDELEC,Zuid-Holland,600182595.0,2022,N,J,N,K,164259208.0,,Z,G
20220116771,SPEED PEDELEC,Gelderland,600204232.0,2022,N,J,N,K,418276003.0,FP,,G
20220120575,SPEED PEDELEC,Utrecht,307346203.0,2022,N,J,N,K,307346057.0,MRB,,G
20220185300,SPEED PEDELEC,Zuid-Holland,,2022,,,,,nan,,,G
20220172778,FATBIKE,Utrecht,600249439.0,2022,N,J,N,,nan,,,G
20220153996,SPEED PEDELEC,Utrecht,600250331.0,2022,N,J,N,,nan,,,G
20220216212,SPEED PEDELEC,Zuid-Holland,171313002.0,2022,N,J,N,,nan,,,G
20220221294,SPEED PEDELEC,Zuid-Holland,600176971.0,2022,N,J,N,K,188270098.0,,,G
20220213872,SPEED PEDELEC,Zuid-Holland,,2022,,,,,nan,,,G
