Accident_ID,Party_Type,Province,Intersection_ID,Year,Main_Road_Type,Urban_Access_Road_Type,Residential_Road_Type,Intersection_Type,Road_Segment_Number,Road_Structure_Type,Pavement_Type,Surface_Type
20230003443,SPEEDPEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
20230004265,FATBIKE,Noord-Holland,600150308.0,2023,N,J,N,K,232375156.0,G,FP,
20230017589,SPEED PEDELEC,Noord-Holland,222430201.0,2023,N,J,N,K,222430194.0,G,RB,
20230017968,FATBIKE,Noord-Holland,210387077.0,2023,N,J,N,K,210387077.0,G,RB,
20230020507,SPEED PEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
20230036843,FATBIKE,Noord-Holland,600158287.0,2023,N,J,N,K,228371077.0,G,FP,
20230036481,FATBIKE,Noord-Holland,207376237.0,2023,N,J,N,K,207376237.0,G,RB,
20230046508,FATBIKE,Noord-Holland,205394177.0,2023,N,J,N,K,205394177.0,G,RB,
20230037130,SPEED PEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
20230037831,SPEED PEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
20230040255,FATBIKE,Noord-Holland,242372007.0,2023,N,J,N,,,G,PKP,
20230048316,FATBIKE,Noord-Holland,600254423.0,2023,N,J,N,K,276359187.0,G,FP,
20230048495,SPEED PEDELEC,Noord-Holland,246375010.0,2023,N,J,N,K,246375010.0,G,FP,
20230048855,FATBIKE,Noord-Holland,600148761.0,2023,N,J,N,K,239359130.0,G,VBW,O
20230046753,FATBIKE,Noord-Holland,214360101.0,2023,N,J,N,,,G,PKP,
20230049353,FATBIKE,Noord-Holland,,2023,,,,,,G,PKP,
20230049669,FATBIKE,Noord-Holland,234374052.0,2023,N,J,N,,,G,PKP,
20230047513,FATBIKE,Noord-Holland,263435046.0,2023,N,J,N,K,263435046.0,G,FP,
20230059038,SPEED PEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
20230059210,FATBIKE,Noord-Holland,600292409.0,2023,N,J,N,K,232389124.0,G,FP,
20230059750,FATBIKE,Noord-Holland,600285356.0,2023,N,J,N,K,206369088.0,G,RB,O
20230059995,FATBIKE,Noord-Holland,,2023,,,,,,G,PKP,
20230060005,FATBIKE,Noord-Holland,240372137.0,2023,N,J,N,K,240372134.0,G,RB,N
