Modes,Population,Travel motifs,Margins,Regions,Periods,Average distance per trip (passenger-kilometres),Average travel duration per trip (minutes),Year
Bicycle,Population: 6 years or older,Total,Value,Netherlands,2018.0,3.99,20.77,2018
Bicycle,Population: 6 years or older,Total,Value,Netherlands,2019.0,3.97,21.48,2019
Bicycle,Population: 6 years or older,Total,Value,Netherlands,2020.0,4.16,23.54,2020
Bicycle,Population: 6 years or older,Total,Value,Netherlands,2021.0,4.22,23.85,2021
Bicycle,Population: 6 years or older,Total,Value,Netherlands,2022.0,4.04,22.25,2022
Bicycle,Population: 6 years or older,Total,Value,Netherlands,2023.0,4.0,21.67,2023
Bicycle,Population: 6 years or older,Total,Value,Northern Netherlands (LD),2018.0,3.96,20.16,2018
Bicycle,Population: 6 years or older,Total,Value,Northern Netherlands (LD),2019.0,3.94,20.93,2019
Bicycle,Population: 6 years or older,Total,Value,Northern Netherlands (LD),2020.0,4.18,22.59,2020
Bicycle,Population: 6 years or older,Total,Value,Northern Netherlands (LD),2021.0,4.39,23.59,2021
Bicycle,Population: 6 years or older,Total,Value,Northern Netherlands (LD),2022.0,4.25,23.02,2022
Bicycle,Population: 6 years or older,Total,Value,Northern Netherlands (LD),2023.0,4.04,21.51,2023
Bicycle,Population: 6 years or older,Total,Value,East Netherlands (LD),2018.0,3.81,19.86,2018
Bicycle,Population: 6 years or older,Total,Value,East Netherlands (LD),2019.0,3.94,20.5,2019
Bicycle,Population: 6 years or older,Total,Value,East Netherlands (LD),2020.0,4.01,22.17,2020
Bicycle,Population: 6 years or older,Total,Value,East Netherlands (LD),2021.0,4.17,22.65,2021
Bicycle,Population: 6 years or older,Total,Value,East Netherlands (LD),2022.0,3.85,20.49,2022
Bicycle,Population: 6 years or older,Total,Value,East Netherlands (LD),2023.0,3.87,20.46,2023
Bicycle,Population: 6 years or older,Total,Value,West Netherlands (LD),2018.0,3.99,20.78,2018
Bicycle,Population: 6 years or older,Total,Value,West Netherlands (LD),2019.0,3.89,21.36,2019
Bicycle,Population: 6 years or older,Total,Value,West Netherlands (LD),2020.0,4.18,24.24,2020
Bicycle,Population: 6 years or older,Total,Value,West Netherlands (LD),2021.0,4.16,24.32,2021
Bicycle,Population: 6 years or older,Total,Value,West Netherlands (LD),2022.0,3.95,22.33,2022
Bicycle,Population: 6 years or older,Total,Value,West Netherlands (LD),2023.0,3.93,21.78,2023
Bicycle,Population: 6 years or older,Total,Value,South Netherlands (LD),2018.0,4.23,22.16,2018
Bicycle,Population: 6 years or older,Total,Value,South Netherlands (LD),2019.0,4.26,23.29,2019
Bicycle,Population: 6 years or older,Total,Value,South Netherlands (LD),2020.0,4.3,23.93,2020
Bicycle,Population: 6 years or older,Total,Value,South Netherlands (LD),2021.0,4.32,24.26,2021
Bicycle,Population: 6 years or older,Total,Value,South Netherlands (LD),2022.0,4.41,23.88,2022
Bicycle,Population: 6 years or older,Total,Value,South Netherlands (LD),2023.0,4.33,23.01,2023
Bicycle,Population: 6 years or older,Total,Value,Groningen (PV),2018.0,3.8,19.49,2018
Bicycle,Population: 6 years or older,Total,Value,Groningen (PV),2019.0,3.95,19.5,2019
Bicycle,Population: 6 years or older,Total,Value,Groningen (PV),2020.0,4.36,24.97,2020
Bicycle,Population: 6 years or older,Total,Value,Groningen (PV),2021.0,3.99,22.99,2021
Bicycle,Population: 6 years or older,Total,Value,Groningen (PV),2022.0,4.07,21.38,2022
Bicycle,Population: 6 years or older,Total,Value,Groningen (PV),2023.0,3.89,21.75,2023
Bicycle,Population: 6 years or older,Total,Value,Fryslân (PV),2018.0,4.08,21.13,2018
Bicycle,Population: 6 years or older,Total,Value,Fryslân (PV),2019.0,3.76,21.62,2019
Bicycle,Population: 6 years or older,Total,Value,Fryslân (PV),2020.0,3.81,20.45,2020
Bicycle,Population: 6 years or older,Total,Value,Fryslân (PV),2021.0,4.39,23.76,2021
Bicycle,Population: 6 years or older,Total,Value,Fryslân (PV),2022.0,4.28,24.48,2022
Bicycle,Population: 6 years or older,Total,Value,Fryslân (PV),2023.0,3.97,21.12,2023
Bicycle,Population: 6 years or older,Total,Value,Drenthe (PV),2018.0,4.02,19.8,2018
Bicycle,Population: 6 years or older,Total,Value,Drenthe (PV),2019.0,4.16,22.02,2019
Bicycle,Population: 6 years or older,Total,Value,Drenthe (PV),2020.0,4.48,22.65,2020
Bicycle,Population: 6 years or older,Total,Value,Drenthe (PV),2021.0,4.83,24.04,2021
Bicycle,Population: 6 years or older,Total,Value,Drenthe (PV),2022.0,4.45,23.18,2022
Bicycle,Population: 6 years or older,Total,Value,Drenthe (PV),2023.0,4.35,21.67,2023
Bicycle,Population: 6 years or older,Total,Value,Overijssel (PV),2018.0,3.6,18.55,2018
Bicycle,Population: 6 years or older,Total,Value,Overijssel (PV),2019.0,3.76,19.52,2019
Bicycle,Population: 6 years or older,Total,Value,Overijssel (PV),2020.0,3.97,22.25,2020
Bicycle,Population: 6 years or older,Total,Value,Overijssel (PV),2021.0,4.04,22.15,2021
Bicycle,Population: 6 years or older,Total,Value,Overijssel (PV),2022.0,3.69,19.31,2022
Bicycle,Population: 6 years or older,Total,Value,Overijssel (PV),2023.0,3.89,20.53,2023
Bicycle,Population: 6 years or older,Total,Value,Flevoland (PV),2018.0,3.93,22.79,2018
Bicycle,Population: 6 years or older,Total,Value,Flevoland (PV),2019.0,3.58,19.29,2019
Bicycle,Population: 6 years or older,Total,Value,Flevoland (PV),2020.0,4.03,27.12,2020
Bicycle,Population: 6 years or older,Total,Value,Flevoland (PV),2021.0,4.32,25.21,2021
Bicycle,Population: 6 years or older,Total,Value,Flevoland (PV),2022.0,3.65,21.27,2022
Bicycle,Population: 6 years or older,Total,Value,Flevoland (PV),2023.0,3.91,22.59,2023
Bicycle,Population: 6 years or older,Total,Value,Gelderland (PV),2018.0,3.92,20.23,2018
Bicycle,Population: 6 years or older,Total,Value,Gelderland (PV),2019.0,4.1,21.29,2019
Bicycle,Population: 6 years or older,Total,Value,Gelderland (PV),2020.0,4.03,21.45,2020
Bicycle,Population: 6 years or older,Total,Value,Gelderland (PV),2021.0,4.23,22.6,2021
Bicycle,Population: 6 years or older,Total,Value,Gelderland (PV),2022.0,3.98,21.08,2022
Bicycle,Population: 6 years or older,Total,Value,Gelderland (PV),2023.0,3.86,20.11,2023
Bicycle,Population: 6 years or older,Total,Value,Utrecht (PV),2018.0,3.95,19.62,2018
