"Modes","Population","Travel motifs","Margins","Regions","Periods","Average distance per trip (passenger-kilometres)","Average travel duration per trip (minutes)"
"Bicycle","Population: 6 years or older","Total","Value","Netherlands","2018","3,99","20,77"
"Bicycle","Population: 6 years or older","Total","Value","Netherlands","2019","3,97","21,48"
"Bicycle","Population: 6 years or older","Total","Value","Netherlands","2020","4,16","23,54"
"Bicycle","Population: 6 years or older","Total","Value","Netherlands","2021","4,22","23,85"
"Bicycle","Population: 6 years or older","Total","Value","Netherlands","2022","4,04","22,25"
"Bicycle","Population: 6 years or older","Total","Value","Netherlands","2023","4,00","21,67"
"Bicycle","Population: 6 years or older","Total","Value","Northern Netherlands (LD)","2018","3,96","20,16"
"Bicycle","Population: 6 years or older","Total","Value","Northern Netherlands (LD)","2019","3,94","20,93"
"Bicycle","Population: 6 years or older","Total","Value","Northern Netherlands (LD)","2020","4,18","22,59"
"Bicycle","Population: 6 years or older","Total","Value","Northern Netherlands (LD)","2021","4,39","23,59"
"Bicycle","Population: 6 years or older","Total","Value","Northern Netherlands (LD)","2022","4,25","23,02"
"Bicycle","Population: 6 years or older","Total","Value","Northern Netherlands (LD)","2023","4,04","21,51"
"Bicycle","Population: 6 years or older","Total","Value","East Netherlands (LD)","2018","3,81","19,86"
"Bicycle","Population: 6 years or older","Total","Value","East Netherlands (LD)","2019","3,94","20,50"
"Bicycle","Population: 6 years or older","Total","Value","East Netherlands (LD)","2020","4,01","22,17"
"Bicycle","Population: 6 years or older","Total","Value","East Netherlands (LD)","2021","4,17","22,65"
"Bicycle","Population: 6 years or older","Total","Value","East Netherlands (LD)","2022","3,85","20,49"
"Bicycle","Population: 6 years or older","Total","Value","East Netherlands (LD)","2023","3,87","20,46"
"Bicycle","Population: 6 years or older","Total","Value","West Netherlands (LD)","2018","3,99","20,78"
"Bicycle","Population: 6 years or older","Total","Value","West Netherlands (LD)","2019","3,89","21,36"
"Bicycle","Population: 6 years or older","Total","Value","West Netherlands (LD)","2020","4,18","24,24"
"Bicycle","Population: 6 years or older","Total","Value","West Netherlands (LD)","2021","4,16","24,32"
"Bicycle","Population: 6 years or older","Total","Value","West Netherlands (LD)","2022","3,95","22,33"
"Bicycle","Population: 6 years or older","Total","Value","West Netherlands (LD)","2023","3,93","21,78"
"Bicycle","Population: 6 years or older","Total","Value","South Netherlands (LD)","2018","4,23","22,16"
"Bicycle","Population: 6 years or older","Total","Value","South Netherlands (LD)","2019","4,26","23,29"
"Bicycle","Population: 6 years or older","Total","Value","South Netherlands (LD)","2020","4,30","23,93"
"Bicycle","Population: 6 years or older","Total","Value","South Netherlands (LD)","2021","4,32","24,26"
"Bicycle","Population: 6 years or older","Total","Value","South Netherlands (LD)","2022","4,41","23,88"
"Bicycle","Population: 6 years or older","Total","Value","South Netherlands (LD)","2023","4,33","23,01"
