country,year,Label,C10-S951_X_K,C,D_E,F,G,H,I,ICT,J,N,10-49,50-249,GE10,GE250
AT,2020,lack of applications,0.015748,0.026221985,0.030944985,0.000251,0.014356993,0.003532,3.00E-04,0.117843,0.119999,0.005485996,0.009086,0.030398,0.015748,0.149530881
AT,2020,lack of ICT qualifications (training / education),0.015984,0.026352985,0.045445,0.000502,0.012741,0.007062996,0,0.10834794,0.11359194,0.009776993,0.008265993,0.037873,0.015984,0.147623881
AT,2020,lack of work experience,0.012599,0.014501,0.024954985,0.000251,0.011107,0.005227,0,0.100921,0.10296194,0.007632,0.006656996,0.027481985,0.012599,0.12327694
AT,2020,salary expectations too high,0.010484993,0.010956993,0.030944985,0.000251,0.012693993,0.009022,3.00E-04,0.04343697,0.04597597,0.005627996,0.004196996,0.026672985,0.010484993,0.125543
BE,2020,lack of applications,0.03966197,0.040352,0.140091881,0.009794,0.020158985,0.022540985,0.001022,NA,NA,0.03058,0.022507,0.095891,0.03966197,0.242832881
BE,2020,lack of ICT qualifications (training / education),0.03935697,0.032802,0.09713594,0.010580993,0.022414,0.021502985,0.003408,NA,NA,0.032576,0.021037,0.10365394,0.03935697,0.237235
BE,2020,lack of work experience,0.030439985,0.03149697,0.11672394,0.010580993,0.019866985,0.019037,0.003408,NA,NA,0.029428985,0.014308,0.087967,0.030439985,0.200632
BE,2020,salary expectations too high,0.032289,0.021609,0.09793794,0.008421,0.016309985,0.013868993,0.001022,NA,NA,0.03668897,0.020231985,0.06909494,0.032289,0.187246881
BG,2020,lack of applications,0.006814996,NA,NA,NA,0.003686,NA,NA,0.08769,0.082434,NA,0.004906996,0.011989,0.006814996,0.04018097
BG,2020,lack of ICT qualifications (training / education),0.008273,NA,NA,0,0.003957996,NA,NA,0.103521,0.107089,NA,0.005907,0.015457,0.008273,0.04469397
BG,2020,lack of work experience,0.007134996,NA,NA,0,0.003957996,NA,NA,0.09192494,0.08776794,NA,0.004747,0.014502993,0.007134996,0.04310997
BG,2020,salary expectations too high,0.008030993,NA,NA,0,0.003686,NA,NA,0.09278694,0.09743994,NA,0.005871996,0.015053993,0.008030993,0.03825097
CY,2020,lack of applications,0.004764996,0,0,0,0.004005,0.023876,0,0.04504597,0.04281797,0.006394,0.001758999,0.015425993,0.004764996,0.06826394
CY,2020,lack of ICT qualifications (training / education),0.008346,0.001940999,0,0,0.002975998,0.032724,0,0.121739,0.11571794,0.006394,0.004789996,0.023200985,0.008346,0.06814294
CY,2020,lack of work experience,0.006523,0.001940999,0,0,0.004005,0.026543985,0,0.078403,0.07452594,0.006394,0.002021,0.025276985,0.006523,0.08266794
CY,2020,salary expectations too high,0.005641996,0,0,0,0.002059,0.032724,0,0.066714,0.063414,0.006394,0.002768998,0.017678985,0.005641996,0.05374
DE,2020,lack of applications,0.011627993,0.010492993,0.015039993,0.002731,0.010956993,0.006867996,0.000426,0.080143,0.07288294,0.007814993,0.006079996,0.021975,0.011627993,0.098874
DE,2020,lack of ICT qualifications (training / education),0.01164,0.011209993,0.014287993,0.00254,0.009367,0.007673996,0.000426,0.071382,0.07609294,0.010386993,0.005838996,0.022975,0.01164,0.100324
DE,2020,lack of work experience,0.010129,0.00944,0.012407993,0.002477,0.007510996,0.007558996,0.000426,0.062297,0.06639694,0.009584993,0.005069,0.019871,0.010129,0.088296
DE,2020,salary expectations too high,0.010162993,0.008076993,0.012595993,0.000318,0.011502993,0.00729,0.000426,0.07255,0.070121,0.009651993,0.005096,0.020432,0.010162993,0.085907
DK,2020,lack of applications,0.019562985,0.013697,0.014847993,0,0.008894993,0.011556,0.000892,0.11638794,0.125366,0.007202996,0.013047993,0.031869,0.019562985,0.130745881
DK,2020,lack of ICT qualifications (training / education),0.026561985,0.017239985,0.028011,0,0.012546993,0.017731,0.000892,0.167208881,0.180015881,0.01057,0.017409,0.042949,0.026561985,0.187517881
